transaction_id,transaction_date,customer_id,Purchase_id,Product_Name,product_category,Sales_Channel,purchase_price,sale_price,discount_percentage,quantity_sold,Inventory_Status,region,Payment_Method
76,1/22/2026,1076,100076,TechSavvy 5000,home goods,Retail,587.7,631.69,26.59,631,Low Stock,Ajman,Cash
77,05/03/2025,1077,100077,PowerTech Max,clothing,Oniline,81.57,1145.24,17.48,925,Low Stock,Sharjah,Card
78,2/25/2025,1078,100078,UltimateGadget Pro,,Oniline,221.12,37.34,41.06,998,In Stock,Sharjah,Cash
79,2/23/2026,1079,100079,InnoTech 3000,appliances,Oniline,485.42,300.15,6.81,264,Out of Stock,Dubai,Card
80,08/03/2025,1080,100080,SuperWidget 2000,electronics,Retail,651.47,626.97,24.1,617,In Stock,Sharjah,Card
81,1/27/2026,1081,100081,UltimateGadget Pro,home goods,Oniline,351.19,371.29,33.4,509,Out of Stock,Ajman,Cash
82,10/21/2025,1082,100082,PowerTech Max,appliances,Oniline,320.28,344.95,3.62,91,Low Stock,Abu Dhabi,Online
83,2/19/2025,1083,100083,EcoFriendly Tech,electronics,Oniline,136.64,656.67,20.22,196,Low Stock,Sharjah,Cash
84,09/02/2025,1084,100084,EcoFriendly Tech,home goods,Oniline,726.8,322.6,43.33,111,In Stock,Sharjah,Card
85,2/27/2025,1085,100085,MegaGizmo X,electronics,Oniline,156.52,772.13,34.72,396,Low Stock,Sharjah,Card
86,05/11/2025,1086,100086,UltimateGadget Pro,clothing,Retail,148.86,399.65,13.17,263,In Stock,Sharjah,Online
87,07/10/2025,1087,100087,UltimateGadget Pro,,Retail,245.09,682.51,,864,In Stock,,Card
88,1/17/2025,1088,100088,UltimateGadget Pro,clothing,Retail,766.95,312.55,14.37,114,In Stock,Dubai,Card
89,05/08/2025,1089,100089,FutureTech 10000,accessories,Oniline,691.05,316.29,33.73,149,In Stock,Ajman,Cash
90,12/30/2025,1090,100090,FutureTech 10000,home goods,Oniline,370.32,469.27,40.17,798,Out of Stock,Dubai,Online
91,3/29/2026,1091,100091,MegaGizmo X,electronics,Oniline,617.77,603.08,34.77,770,In Stock,Sharjah,Online
92,4/19/2025,1092,100092,SmartTech Elite,accessories,Retail,874.01,32.54,17.83,758,Low Stock,,Online
93,5/25/2025,1093,100093,InnoTech 3000,electronics,Oniline,439.45,1005.4,,724,In Stock,Sharjah,Cash
94,3/25/2026,1094,100094,UltimateGadget Pro,home goods,Retail,444.16,604.63,0.24,172,In Stock,Dubai,
95,12/03/2025,1095,100095,MegaGizmo X,accessories,Retail,996.3,893.35,32.86,588,Out of Stock,Sharjah,Cash
96,11/30/2025,1096,100096,SmartTech Elite,accessories,Retail,461.93,377.04,8.3,186,Out of Stock,Dubai,Cash
97,7/17/2025,1097,100097,SuperWidget 2000,appliances,Oniline,71.56,60.23,8.96,733,In Stock,,Card
98,10/07/2025,1098,100098,FutureTech 10000,appliances,Oniline,60.57,736.17,23.81,61,Low Stock,Abu Dhabi,
99,03/01/2025,1099,100099,InnoTech 3000,clothing,Retail,974.35,854.56,16.91,727,Out of Stock,Ajman,Online
100,9/25/2025,1100,100100,FutureTech 10000,clothing,Oniline,100.33,828.58,14.52,270,Out of Stock,Abu Dhabi,Card
101,01/02/2026,1101,100101,FutureTech 10000,clothing,Retail,580.39,583.47,34.72,914,Low Stock,Dubai,Online
102,12/19/2025,1102,100102,SmartTech Elite,electronics,Retail,26.37,1484.28,18.85,584,In Stock,,Cash
103,9/23/2025,1103,100103,SuperWidget 2000,clothing,Retail,467.08,853.26,35.59,562,In Stock,Abu Dhabi,Online
104,7/16/2025,1104,100104,UltimateGadget Pro,appliances,Oniline,906.58,133.55,44.73,363,In Stock,Sharjah,Online
105,10/08/2025,1105,100105,PowerTech Max,appliances,Retail,875.73,259.97,31.99,463,In Stock,Ajman,Cash
106,10/24/2025,1106,100106,InnoTech 3000,appliances,Oniline,943.18,1350.64,11.55,463,Out of Stock,,Cash
107,12/11/2025,1107,100107,SmartTech Elite,clothing,Retail,754.25,479.18,10.8,710,Out of Stock,Dubai,Online
108,4/21/2025,1108,100108,UltimateGadget Pro,clothing,Oniline,221.81,248.75,35.72,378,Out of Stock,Sharjah,Card
109,9/26/2025,1109,100109,InnoTech 3000,appliances,Retail,116.25,93.81,39.6,175,Low Stock,Sharjah,Card
110,5/29/2025,1110,100110,MegaGizmo X,home goods,Retail,325.86,1232.85,43.09,252,Low Stock,Ajman,Cash
111,3/27/2025,1111,100111,PowerTech Max,appliances,Oniline,886.72,1457.85,40.58,677,In Stock,Abu Dhabi,Card
112,9/25/2025,1112,100112,GigaGadget 9000,electronics,Retail,246.25,673.48,,513,Low Stock,Sharjah,Cash
113,3/14/2025,1113,100113,EcoFriendly Tech,home goods,Oniline,417.51,974.55,32.9,876,In Stock,Ajman,Card
114,02/11/2025,1114,100114,MegaGizmo X,clothing,Retail,856.06,1243.44,35.3,471,Low Stock,Ajman,Online
115,6/28/2025,1115,100115,UltimateGadget Pro,electronics,,665.9,1224.02,5.27,785,Out of Stock,Abu Dhabi,Cash
116,07/09/2025,1116,100116,GigaGadget 9000,electronics,Oniline,340.12,702.22,3.63,966,Low Stock,Dubai,Online
117,3/16/2026,1117,100117,FutureTech 10000,,Retail,256.91,960.39,,477,Out of Stock,Dubai,Online
118,2/20/2025,1118,100118,EcoFriendly Tech,home goods,Oniline,891.12,899.25,10.58,610,In Stock,Abu Dhabi,Online
119,7/24/2025,1119,100119,TechSavvy 5000,accessories,Oniline,88.33,367.56,44.42,273,Low Stock,Dubai,Cash
120,01/04/2026,1120,100120,SmartTech Elite,appliances,Oniline,928.96,1173.57,5.35,227,Out of Stock,Sharjah,Card
121,01/09/2026,1121,100121,MegaGizmo X,home goods,Retail,767.63,871.71,,538,Low Stock,Sharjah,Card
122,03/12/2026,1122,100122,InnoTech 3000,accessories,Oniline,499.7,971.32,43.18,464,Out of Stock,Dubai,Card
123,4/15/2025,1123,100123,TechSavvy 5000,appliances,Oniline,882.78,698.19,28.34,950,Out of Stock,Abu Dhabi,Cash
124,7/30/2025,1124,100124,MegaGizmo X,electronics,Oniline,974.48,893.67,49.33,41,Out of Stock,Dubai,Cash
125,11/30/2025,1125,100125,UltimateGadget Pro,clothing,Oniline,736.04,1335.24,10.7,371,Out of Stock,Ajman,Cash
126,7/27/2025,1126,100126,SuperWidget 2000,accessories,Retail,331.68,1274.48,2.07,883,In Stock,Ajman,Card
127,03/04/2026,1127,100127,FutureTech 10000,appliances,Retail,401.7,253.8,27.19,903,In Stock,Ajman,Online
128,01/02/2026,1128,100128,,electronics,Oniline,640.85,804,32.67,977,In Stock,Sharjah,Cash
129,08/07/2025,1129,100129,FutureTech 10000,home goods,Oniline,381.73,150.94,,581,Low Stock,Ajman,Cash
130,10/14/2025,1130,100130,FutureTech 10000,accessories,Oniline,332.93,196.2,21.97,346,Low Stock,Sharjah,Online
131,05/08/2025,1131,100131,GigaGadget 9000,electronics,Oniline,816.81,1357.15,24.3,523,Low Stock,Sharjah,
132,1/14/2026,1132,100132,SmartTech Elite,appliances,Retail,989.1,245.87,35.01,897,Low Stock,Sharjah,Cash
133,10/04/2025,1133,100133,EcoFriendly Tech,clothing,Retail,818.56,1283.67,35.79,179,Low Stock,Ajman,Cash
134,12/10/2025,1134,100134,TechSavvy 5000,home goods,Retail,417.6,696.75,0.39,188,Low Stock,Ajman,Online
135,10/12/2025,1135,100135,,accessories,Oniline,916.26,414.08,37.54,533,Out of Stock,Sharjah,Online
136,05/06/2025,1136,100136,UltimateGadget Pro,electronics,Oniline,891.91,63.93,3.95,654,In Stock,Dubai,Cash
137,07/01/2025,1137,100137,GigaGadget 9000,accessories,Oniline,208.1,560.42,15.06,880,In Stock,Ajman,Online
138,4/26/2025,1138,100138,PowerTech Max,clothing,Retail,323.44,1237.58,18.93,486,Out of Stock,Ajman,Online
139,8/18/2025,1139,100139,EcoFriendly Tech,electronics,Oniline,836.04,746.51,7.29,301,Low Stock,Ajman,Card
140,01/01/2026,1140,100140,SuperWidget 2000,electronics,Oniline,598.28,124.6,47.72,863,In Stock,Ajman,Card
141,06/12/2025,1141,100141,FutureTech 10000,home goods,Retail,537.49,379.17,12.17,527,In Stock,Sharjah,Online
142,3/15/2026,1142,100142,UltimateGadget Pro,appliances,Oniline,564.02,27.35,8,989,Low Stock,,Card
143,02/01/2025,1143,100143,InnoTech 3000,home goods,Retail,511.7,840.85,43.21,515,In Stock,Abu Dhabi,Card
144,01/11/2026,1144,100144,PowerTech Max,,Oniline,305.23,1003.68,,132,Low Stock,Ajman,Cash
145,8/31/2025,1145,100145,UltimateGadget Pro,clothing,Oniline,845.89,976.64,22.95,875,In Stock,Dubai,Cash
146,03/10/2025,1146,100146,,electronics,Retail,229.9,108.19,37.94,337,Out of Stock,Sharjah,Online
147,11/23/2025,1147,100147,FutureTech 10000,accessories,Oniline,514.76,60.62,34.46,413,Low Stock,Dubai,Cash
148,1/18/2025,1148,100148,PowerTech Max,electronics,Oniline,658.3,1365.08,18.4,937,Low Stock,Abu Dhabi,Card
149,2/27/2026,1149,100149,TechSavvy 5000,home goods,Retail,195.62,567.55,49.51,963,In Stock,Dubai,Cash
150,08/02/2025,1150,100150,PowerTech Max,home goods,Oniline,453.86,1042.79,43.51,713,Low Stock,Abu Dhabi,Cash
151,12/13/2025,1151,100151,TechSavvy 5000,clothing,Retail,954.01,514.01,,462,,Abu Dhabi,Card
152,12/05/2025,1152,100152,MegaGizmo X,clothing,Retail,885.47,560.16,16.9,626,Low Stock,Sharjah,Card
153,11/11/2025,1153,100153,PowerTech Max,home goods,Oniline,245.63,136.78,44.23,104,,Abu Dhabi,Online
154,11/22/2025,1154,100154,PowerTech Max,home goods,Oniline,845.03,17.11,2.06,138,In Stock,Dubai,Cash
155,2/22/2025,1155,100155,EcoFriendly Tech,clothing,Oniline,157.42,527.21,21.68,999,Low Stock,Dubai,Cash
156,01/01/2026,1156,100156,MegaGizmo X,,Oniline,120.77,917.6,16.56,218,Out of Stock,Ajman,Online
157,11/15/2025,1157,100157,SmartTech Elite,clothing,Retail,850.58,848.55,11.76,649,Low Stock,Ajman,Online
158,05/04/2025,1158,100158,EcoFriendly Tech,appliances,Retail,340.35,754.46,48.13,21,In Stock,,Online
159,9/20/2025,1159,100159,InnoTech 3000,accessories,,971.27,207.57,11.49,832,Low Stock,Abu Dhabi,Cash
160,12/20/2025,1160,100160,UltimateGadget Pro,appliances,Retail,362.52,1069.06,15.39,172,Low Stock,Dubai,Online
161,3/16/2025,1161,100161,SuperWidget 2000,clothing,Oniline,612.44,1353.1,2.68,155,In Stock,,Card
162,12/08/2025,1162,100162,MegaGizmo X,accessories,Oniline,705.46,1436.49,31.06,626,In Stock,Ajman,Card
163,1/28/2026,1163,100163,MegaGizmo X,accessories,Oniline,386.75,888.04,17.65,631,In Stock,Sharjah,Online
164,11/16/2025,1164,100164,,accessories,Retail,267.55,250.94,7.72,784,In Stock,,Cash
165,07/03/2025,1165,100165,UltimateGadget Pro,accessories,Retail,22.03,1094.72,16.2,540,In Stock,Dubai,Cash
166,1/19/2026,1166,100166,,electronics,Retail,368.77,147.28,8.13,228,Low Stock,Abu Dhabi,Card
167,11/29/2025,1167,100167,InnoTech 3000,accessories,Oniline,455.15,281.81,18.52,119,Low Stock,Ajman,Card
168,11/28/2025,1168,100168,InnoTech 3000,accessories,Retail,464.8,1458.31,15.37,241,In Stock,Dubai,Card
169,3/26/2025,1169,100169,SmartTech Elite,electronics,Retail,961.29,1223.82,28.88,674,Out of Stock,Abu Dhabi,Card
170,4/30/2025,1170,100170,UltimateGadget Pro,electronics,Retail,931.63,522.99,29.44,892,Out of Stock,Sharjah,Card
171,10/28/2025,1171,100171,MegaGizmo X,clothing,Retail,215.06,1118.5,43.68,353,In Stock,Ajman,Online
172,4/17/2025,1172,100172,UltimateGadget Pro,clothing,Oniline,301.02,501.04,,205,Out of Stock,,Online
173,10/26/2025,1173,100173,MegaGizmo X,electronics,Retail,181.29,368.41,27.37,633,,Ajman,Cash
174,1/31/2025,1174,100174,MegaGizmo X,accessories,Oniline,495.03,828.02,37.24,697,Low Stock,Abu Dhabi,Card
175,11/03/2025,1175,100175,SuperWidget 2000,clothing,Retail,117.96,590.15,2.89,372,In Stock,Ajman,Online
176,8/31/2025,1176,100176,,electronics,Oniline,753.4,687.44,42.65,436,Out of Stock,Sharjah,Card
177,8/23/2025,1177,100177,EcoFriendly Tech,,Retail,406.71,866.98,46.19,84,In Stock,Abu Dhabi,Card
178,11/19/2025,1178,100178,InnoTech 3000,accessories,Oniline,976.42,954.27,,341,Out of Stock,Sharjah,Online
179,12/18/2025,1179,100179,TechSavvy 5000,,Retail,467.07,951,,413,Out of Stock,Sharjah,Card
180,6/25/2025,1180,100180,MegaGizmo X,appliances,Oniline,464.24,696.07,27.3,579,Low Stock,,
181,7/30/2025,1181,100181,TechSavvy 5000,appliances,Retail,848.78,1184.4,19.65,536,Low Stock,Ajman,Online
182,02/12/2026,1182,100182,MegaGizmo X,clothing,Oniline,442.19,429.55,,370,Low Stock,Sharjah,Online
183,5/15/2025,1183,100183,SmartTech Elite,,Oniline,353.68,1395.81,15.04,658,Out of Stock,Ajman,Cash
184,06/07/2025,1184,100184,InnoTech 3000,accessories,Retail,611.38,877.11,4.03,516,Out of Stock,Dubai,Online
185,06/06/2025,1185,100185,FutureTech 10000,clothing,Retail,819.87,1410.89,6.46,347,,Sharjah,Online
186,3/28/2025,1186,100186,UltimateGadget Pro,appliances,Oniline,486.15,1210.99,26.94,957,In Stock,Abu Dhabi,Card
187,11/21/2025,1187,100187,TechSavvy 5000,accessories,Retail,427.34,1161.35,,904,In Stock,Ajman,Cash
188,05/01/2025,1188,100188,SmartTech Elite,,Retail,756.1,451.78,,838,,Sharjah,Card
189,1/17/2025,1189,100189,FutureTech 10000,appliances,,342.41,1012.52,49.2,876,Low Stock,Ajman,Card
190,11/20/2025,1190,100190,InnoTech 3000,appliances,Retail,514.2,293,28.09,63,In Stock,Dubai,Card
191,04/11/2025,1191,100191,InnoTech 3000,home goods,Retail,519.16,1161.34,30.01,881,Low Stock,Dubai,Cash
192,7/24/2025,1192,100192,SmartTech Elite,accessories,Oniline,718.17,876.31,10.99,695,In Stock,Abu Dhabi,Cash
193,2/19/2025,1193,100193,SuperWidget 2000,home goods,Retail,227.27,356.37,10.53,503,Low Stock,Dubai,Cash
194,3/23/2026,1194,100194,FutureTech 10000,home goods,Oniline,752.94,1343.88,5.52,619,Out of Stock,Abu Dhabi,Online
195,3/28/2025,1195,100195,TechSavvy 5000,accessories,Retail,670.61,1158.35,13.49,332,Low Stock,Sharjah,Card
196,10/05/2025,1196,100196,,accessories,Oniline,438.94,1361.36,28.43,585,In Stock,Sharjah,Online
197,7/31/2025,1197,100197,FutureTech 10000,accessories,Retail,741.77,1048.03,32.43,857,In Stock,Dubai,Card
198,2/27/2025,1198,100198,EcoFriendly Tech,electronics,Oniline,46.93,775.56,46.14,946,Out of Stock,Ajman,Online
199,02/11/2025,1199,100199,SmartTech Elite,electronics,Oniline,917.05,111.99,3.22,834,,Ajman,Online
200,12/19/2025,1200,100200,PowerTech Max,home goods,Retail,135.93,97.81,19.52,972,In Stock,,Online
201,03/10/2025,1201,100201,PowerTech Max,accessories,Oniline,458.01,1265.97,3.64,555,Low Stock,Abu Dhabi,Online
202,01/07/2026,1202,100202,TechSavvy 5000,appliances,Oniline,368.48,1210.18,43.89,194,In Stock,Ajman,Cash
203,12/31/2025,1203,100203,FutureTech 10000,home goods,Retail,888.9,1441.21,,955,Out of Stock,Abu Dhabi,Cash
204,01/03/2026,1204,100204,TechSavvy 5000,appliances,Oniline,681.45,277.58,19.97,524,Low Stock,Sharjah,Card
205,12/06/2025,1205,100205,SmartTech Elite,electronics,Oniline,814.77,19.14,25.64,242,Low Stock,Abu Dhabi,Online
206,03/04/2026,1206,100206,UltimateGadget Pro,clothing,Retail,232.07,763.68,40.3,79,In Stock,Dubai,Online
207,1/24/2026,1207,100207,UltimateGadget Pro,appliances,Retail,758.49,1309.57,1.17,521,In Stock,Sharjah,Cash
208,04/06/2025,1208,100208,SmartTech Elite,accessories,Retail,580.78,737.03,26.37,626,Low Stock,Abu Dhabi,Card
209,2/14/2026,1209,100209,UltimateGadget Pro,appliances,Retail,431.4,1191.03,5.51,49,Low Stock,Abu Dhabi,Online
210,08/09/2025,1210,100210,SuperWidget 2000,electronics,Oniline,474.86,723.49,19.51,206,In Stock,,Card
211,11/09/2025,1211,100211,MegaGizmo X,accessories,Oniline,756.03,1125.52,22.03,75,Low Stock,Abu Dhabi,Cash
212,01/10/2026,1212,100212,PowerTech Max,,Oniline,918.53,1182.81,9.84,774,Low Stock,Ajman,Cash
213,11/22/2025,1213,100213,SuperWidget 2000,home goods,Oniline,523.31,1436.99,21.55,944,Out of Stock,Dubai,
214,7/27/2025,1214,100214,,clothing,,431.95,441.67,7.31,349,In Stock,Sharjah,Cash
215,1/17/2025,1215,100215,SmartTech Elite,appliances,Retail,945.17,70.29,2.48,903,Out of Stock,,Cash
216,2/27/2025,1216,100216,PowerTech Max,home goods,Oniline,315.32,1282.6,46.44,76,Low Stock,Dubai,Online
217,02/06/2025,1217,100217,MegaGizmo X,home goods,Retail,739.76,1498.91,2.67,731,Out of Stock,Sharjah,Cash
218,1/26/2025,1218,100218,,electronics,Oniline,486.22,110.7,4.15,736,Low Stock,Sharjah,Card
219,09/08/2025,1219,100219,FutureTech 10000,appliances,Retail,725.16,117.45,47.65,366,Low Stock,Abu Dhabi,Card
220,10/28/2025,1220,100220,InnoTech 3000,,Retail,774.23,1182.8,19.4,576,,Dubai,Online
221,8/15/2025,1221,100221,PowerTech Max,clothing,Oniline,837.62,1409.55,37.34,733,In Stock,Sharjah,Online
222,6/20/2025,1222,100222,UltimateGadget Pro,appliances,Retail,541.55,1233.68,26.73,809,Low Stock,Dubai,Cash
223,07/08/2025,1223,100223,PowerTech Max,,Retail,317.23,989.32,38.22,211,Low Stock,Sharjah,Cash
224,11/19/2025,1224,100224,SuperWidget 2000,home goods,Oniline,308.72,51.63,,677,Out of Stock,Sharjah,Cash
225,01/12/2025,1225,100225,TechSavvy 5000,home goods,Retail,744.4,845.22,11.14,934,Low Stock,Dubai,
226,10/04/2025,1226,100226,TechSavvy 5000,home goods,Oniline,618.17,550.43,41.29,797,Low Stock,Ajman,Card
227,01/09/2025,1227,100227,TechSavvy 5000,clothing,Oniline,598.39,974.03,48.53,348,In Stock,Dubai,Cash
